City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
96,Ayagoz,KZ,2021-03-24 20:03:54,47.9714,80.4392,6.37,93,56,4.76,broken clouds
97,Mar Del Plata,AR,2021-03-24 20:00:00,-38.0023,-57.5575,75.2,78,20,10.36,few clouds
98,Bredasdorp,ZA,2021-03-24 20:03:55,-34.5322,20.0403,64.4,88,100,10.36,overcast clouds
99,Sapele,NG,2021-03-24 19:59:10,5.8941,5.6767,76.21,88,98,3.31,overcast clouds
100,Nova Aurora,BR,2021-03-24 20:03:56,-22.8667,-52.5667,87.6,56,90,6.15,overcast clouds
101,Rapid City,US,2021-03-24 20:02:10,44.0805,-103.231,48.2,40,1,13.8,clear sky
102,Ponta Do Sol,PT,2021-03-24 20:03:57,32.6667,-17.1,60.01,66,100,3.0,overcast clouds
103,Sao Joao Do Paraiso,BR,2021-03-24 20:03:57,-15.3136,-42.0144,86.52,22,0,13.71,clear sky
104,Port Hedland,AU,2021-03-24 20:03:57,-20.3167,118.5667,77.0,94,2,4.61,clear sky
105,Rikitea,PF,2021-03-24 20:03:58,-23.1203,-134.9692,79.59,66,0,12.48,clear sky
106,Oistins,BB,2021-03-24 20:03:58,13.0667,-59.5333,82.4,54,40,18.41,scattered clouds
107,Luderitz,NA,2021-03-24 20:03:58,-26.6481,15.1594,66.79,78,0,9.78,clear sky
108,Vanavara,RU,2021-03-24 20:03:59,60.34,102.2797,9.46,95,100,3.85,overcast clouds
109,Andenes,NO,2021-03-24 20:03:59,69.3143,16.1194,41.0,87,75,34.52,light intensity drizzle
110,Avarua,CK,2021-03-24 20:03:59,-21.2078,-159.775,84.2,84,19,14.97,few clouds
111,Hasaki,JP,2021-03-24 20:03:59,35.7333,140.8333,48.2,93,75,3.44,broken clouds
112,Torbay,CA,2021-03-24 20:04:00,47.6666,-52.7314,55.4,38,40,18.41,scattered clouds
113,Honiara,SB,2021-03-24 20:04:00,-9.4333,159.95,77.41,84,36,3.0,scattered clouds
114,Atambua,ID,2021-03-24 20:04:00,-9.1061,124.8925,73.08,89,23,2.77,few clouds
115,Tiksi,RU,2021-03-24 20:04:00,71.6872,128.8694,-27.67,99,85,4.61,overcast clouds
116,Chaman,PK,2021-03-24 20:03:09,30.9236,66.4512,64.8,17,82,5.1,broken clouds
117,Agadir,MA,2021-03-24 20:04:01,30.4202,-9.5982,71.6,21,0,10.36,clear sky
118,Yellowknife,CA,2021-03-24 20:01:10,62.456,-114.3525,8.01,55,1,6.91,clear sky
119,Homer,US,2021-03-24 20:04:01,59.6425,-151.5483,36.0,75,75,12.66,broken clouds
120,Vardo,NO,2021-03-24 20:04:02,70.3705,31.1107,33.8,86,100,9.22,overcast clouds
121,Alim,PH,2021-03-24 20:04:02,9.5649,122.4876,79.57,77,92,10.29,overcast clouds
122,Pangnirtung,CA,2021-03-24 20:04:02,66.1451,-65.7125,-23.8,57,40,2.3,scattered clouds
123,Vila,PT,2021-03-24 20:04:02,42.0304,-8.1588,48.99,73,51,5.99,broken clouds
124,Saurimo,AO,2021-03-24 20:04:03,-9.6608,20.3916,67.48,92,88,3.78,light rain
125,Grand Gaube,MU,2021-03-24 20:04:03,-20.0064,57.6608,78.01,85,100,8.77,overcast clouds
126,Lata,PT,2021-03-24 20:04:03,40.1629,-8.3327,55.0,75,54,2.48,broken clouds
127,Ostrovnoy,RU,2021-03-24 20:04:03,68.0531,39.5131,35.71,96,100,23.33,overcast clouds
128,Rawson,AR,2021-03-24 20:04:04,-43.3002,-65.1023,60.49,47,100,12.95,overcast clouds
129,Upernavik,GL,2021-03-24 20:04:04,72.7868,-56.1549,-15.7,90,92,3.47,overcast clouds
130,Berlevag,NO,2021-03-24 20:04:04,70.8578,29.0864,35.6,75,0,11.5,clear sky
131,Whitehorse,CA,2021-03-24 20:04:05,60.7161,-135.0538,21.0,67,75,5.75,broken clouds
132,Bestobe,KZ,2021-03-24 20:04:05,52.4994,73.0975,16.39,91,30,12.35,scattered clouds
133,Chikola,RU,2021-03-24 20:04:05,43.1906,43.9209,39.2,81,90,2.24,overcast clouds
134,Quesnel,CA,2021-03-24 20:00:05,52.9999,-122.5029,42.8,70,90,12.66,overcast clouds
135,Hambantota,LK,2021-03-24 20:04:05,6.1241,81.1185,78.31,83,100,9.04,moderate rain
136,Fairmont,US,2021-03-24 20:04:06,39.4851,-80.1426,73.4,38,75,10.36,broken clouds
137,Synya,RU,2021-03-24 20:04:06,65.3718,58.0387,25.16,96,75,7.2,broken clouds
138,Kokkinokhoma,GR,2021-03-24 20:04:06,40.9333,24.3,39.0,50,0,1.01,clear sky
139,Khovu-Aksy,RU,2021-03-24 20:04:07,51.1333,93.6,23.86,96,100,1.03,overcast clouds
140,Pevek,RU,2021-03-24 20:04:07,69.7008,170.3133,-18.78,97,100,6.62,overcast clouds
141,Lensk,RU,2021-03-24 20:04:07,60.7253,114.9278,0.63,99,98,3.67,overcast clouds
142,Hithadhoo,MV,2021-03-24 20:04:08,-0.6,73.0833,82.74,74,100,10.87,overcast clouds
143,Yagodnoye,RU,2021-03-24 20:04:08,62.55,149.6667,-9.53,98,100,5.32,overcast clouds
144,Pasighat,IN,2021-03-24 20:04:08,28.0667,95.3333,73.27,31,94,4.52,overcast clouds
145,Seymchan,RU,2021-03-24 20:04:09,62.8833,152.4333,-7.44,90,100,9.15,overcast clouds
146,Dwarka,IN,2021-03-24 20:04:09,22.2394,68.9678,78.44,63,0,12.37,clear sky
147,Alice Springs,AU,2021-03-24 20:04:09,-23.7,133.8833,62.6,94,5,2.3,clear sky
148,Mareeba,AU,2021-03-24 20:04:10,-17.0,145.4333,77.0,88,96,10.36,overcast clouds
149,Sisimiut,GL,2021-03-24 20:04:10,66.9395,-53.6735,1.29,89,100,12.46,light snow
150,Chivay,PE,2021-03-24 20:04:10,-15.6383,-71.6011,53.53,73,91,6.51,overcast clouds
151,The Valley,AI,2021-03-24 20:04:10,18.217,-63.0578,82.4,65,20,11.5,few clouds
152,Broken Hill,AU,2021-03-24 20:04:11,-31.95,141.4333,59.0,72,0,8.05,clear sky
153,Ekhabi,RU,2021-03-24 20:04:11,53.5102,142.9671,2.05,90,4,9.08,clear sky
154,Plouzane,FR,2021-03-24 20:04:11,48.3833,-4.6167,46.4,93,20,2.3,few clouds
155,Champerico,GT,2021-03-24 20:04:12,14.3,-91.9167,89.6,62,40,6.91,scattered clouds
156,Baglung,NP,2021-03-24 20:04:12,28.2719,83.5898,57.31,33,0,7.09,clear sky
157,Deputatskiy,RU,2021-03-24 20:04:12,69.3,139.9,-20.65,99,100,1.77,overcast clouds
158,Solnechnyy,RU,2021-03-24 20:04:12,50.7214,136.6319,14.07,79,1,4.27,clear sky
159,Leningradskiy,RU,2021-03-24 20:04:13,69.3833,178.4167,-5.87,96,100,10.8,overcast clouds
160,Hami,CN,2021-03-24 20:04:13,42.8,93.45,48.04,38,96,14.92,overcast clouds
161,Lorengau,PG,2021-03-24 20:04:13,-2.0226,147.2712,80.28,80,100,8.72,light rain
162,Ust-Ordynskiy,RU,2021-03-24 20:04:13,52.805,104.7508,30.2,69,0,6.76,clear sky
163,Malinovskiy,RU,2021-03-24 20:04:14,61.1953,62.8397,15.73,93,89,5.64,overcast clouds
164,Zinder,NE,2021-03-24 20:04:14,13.8072,8.9881,85.93,13,52,11.97,broken clouds
165,Ornskoldsvik,SE,2021-03-24 20:04:14,63.2909,18.7153,39.2,52,0,4.61,clear sky
166,Rudraprayag,IN,2021-03-24 20:04:15,30.2833,78.9833,57.07,48,0,4.03,clear sky
167,Ixtapa,MX,2021-03-24 20:04:15,20.7,-105.2,75.2,64,40,9.22,scattered clouds
168,Taybad,IR,2021-03-24 20:04:15,34.74,60.7756,70.43,15,45,13.09,scattered clouds
169,Tiznit,MA,2021-03-24 20:04:16,29.5833,-9.5,66.96,25,0,1.05,clear sky
170,Anadyr,RU,2021-03-24 20:04:16,64.75,177.4833,6.8,85,40,11.18,scattered clouds
171,Novyy Urengoy,RU,2021-03-24 20:04:16,66.0833,76.6333,2.17,97,44,8.19,scattered clouds
172,Kavaratti,IN,2021-03-24 20:04:17,10.5669,72.642,82.58,77,66,7.09,broken clouds
173,Port Pirie,AU,2021-03-24 20:04:17,-33.1833,138.0167,53.6,87,53,5.75,broken clouds
174,Tsiroanomandidy,MG,2021-03-24 20:04:17,-18.7667,46.0333,66.51,95,4,1.63,clear sky
175,Hilton Head Island,US,2021-03-24 19:59:48,32.2163,-80.7526,75.2,68,1,5.75,clear sky
176,Acarau,BR,2021-03-24 20:04:18,-2.8856,-40.12,80.26,78,93,11.41,light rain
177,Oparino,RU,2021-03-24 20:04:18,59.8518,48.2783,32.77,98,100,8.77,overcast clouds
178,Namatanai,PG,2021-03-24 20:04:18,-3.6667,152.4333,79.16,81,96,4.41,light rain
179,Meulaboh,ID,2021-03-24 20:04:19,4.1363,96.1285,74.59,89,100,3.67,overcast clouds
